-1,*Missing*,-1,*,-1,-1,*Missing*,*Missing*,*Missing*,*Missing*,*Missing*,-1
546,"(546) Miami, FL",8,Y,NULL,3,Eastern Standard Time,MIA,2,Southeast, Miami,8336
548,"(548) West Palm Beach, FL",8,Y,NULL,3,Eastern Standard Time,WPB,2,Southeast, West Palm Beach,8398
693,"(693) Wilkes-Barre, PA",4,Y,NULL,4,Eastern Standard Time,WBP,1,North Atlantic, Wilkes-Barre,8447
580,"(580) Houston, TX",16,Y,NULL,2,Central Standard Time,HOU,4,Continental, Houston,8562
586,"(586) Jackson, MS",16,Y,NULL,2,Central Standard Time,JAC,4,Continental, Jackson,8654
589,(589) VA Heartland West (Kansas City MO),15,Y,NULL,2,Central Standard Time,KAN,3,Midwest, Kansas City,8720
598,(598) Central Arkansas HCS (Little Rock AR),16,Y,NULL,2,Central Standard Time,LIT,4,Continental, North Little Rock,8826
607,"(607) Madison, WI",12,Y,NULL,2,Central Standard Time,MAD,3,MidWest, Madison,8866
668,"(668) Spokane, WA",20,Y,NULL,1,Pacific Standard Time,SPO,5,Pacific, Spokane,8913
687,"(687) Walla Walla, WA",20,Y,NULL,1,Pacific Standard Time,WWW,5,Pacific, Walla Walla,8992
691,(691) Greater Los Angeles HCS (Los Angeles CA),22,Y,NULL,1,Pacific Standard Time,GLA,5,Pacific, Los Angeles,9121
692,"(692) White City, OR (CACHE 5.0)",20,Y,NULL,1,Pacific Standard Time,WCO,5,Pacific, White City,9147
463,(463) Alaska VAHSRO (Anchorage AK),20,Y,NULL,1,Alaskan Standard Time,ANC,5,Pacific, Anchorage,9298
570,(570) Central California HCS (Fresno CA),21,Y,NULL,1,Pacific Standard Time,FRE,5,Pacific, Fresno,9383
621,"(621) Mountain Home, TN",9,Y,NULL,3,Eastern Standard Time,MOU,2,Southeast, Mountain Home,9457
630,(630) New York HHS (Brooklyn),2,Y,NULL,4,Eastern Standard Time,NYH,1,North Atlantic, New York,9556
631,"(631) Northampton, MA",1,Y,NULL,4,Eastern Standard Time,NHM,1,North Atlantic, Leeds,9635
610,"(610) Northern Indiana HCS (Marion, IN)",10,Y,NULL,3,Eastern Standard Time,NIN,3,Midwest, Marion,9726
632,"(632) Northport, NY",2,Y,NULL,4,Eastern Standard Time,NOP,1,North Atlantic, Northport,9805
